               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11975,             0.10953,            0.040504,           0.0060812,             0.12039,           0.0039582,           0.0010083,             0.12158,            0.079079,            0.042865,              0.0892,              0.0012,              0.0012
                   1,             0.11541,             0.14656,            0.039342,            0.011797,             0.22944,           0.0084869,           0.0020134,             0.11466,            0.085983,            0.041711,            0.077488,           0.0024876,           0.0024876
                   2,             0.10847,             0.14387,            0.037526,            0.026999,            0.089514,            0.022721,           0.0043994,             0.10585,            0.092346,            0.039139,            0.065762,           0.0037624,           0.0037624
                   3,             0.10257,             0.14402,            0.034822,             0.04184,              0.1666,            0.029064,           0.0073884,             0.09988,             0.11452,            0.037624,            0.054024,           0.0050243,           0.0050243
                   4,            0.098759,              0.1473,            0.032749,            0.037161,             0.31252,            0.044311,            0.011972,            0.094106,             0.13017,            0.034904,            0.042273,           0.0062733,           0.0062733
                   5,            0.091314,             0.12935,            0.031794,            0.067884,             0.24878,            0.057059,            0.017349,            0.092396,             0.10884,            0.032909,            0.030509,           0.0075094,           0.0075094
                   6,            0.094193,             0.12727,             0.02915,            0.084127,             0.32294,            0.049603,            0.013932,            0.089964,              0.1142,            0.032684,            0.018733,           0.0087327,           0.0087327
                   7,            0.088056,             0.11761,            0.030876,            0.084785,             0.26073,            0.070075,            0.019963,             0.09986,            0.084908,            0.031343,           0.0096535,           0.0096535,           0.0096535
                   8,            0.085907,             0.11616,            0.028356,            0.033907,             0.31428,            0.040734,            0.013253,            0.097778,              0.1507,             0.03214,           0.0096535,           0.0096535,           0.0096535
                   9,            0.088719,             0.13822,            0.029707,             0.13987,              0.3545,            0.064329,            0.014742,            0.091883,              0.2225,            0.032162,            0.009604,            0.009604,            0.009604
                  10,            0.084925,             0.13444,            0.027565,             0.30666,             0.19599,            0.096891,            0.028879,             0.08786,             0.09935,            0.028878,           0.0095545,           0.0095545,           0.0095545
                  11,            0.080431,             0.13672,            0.027481,              0.2516,             0.36339,            0.080636,            0.028164,            0.088734,             0.13514,            0.027608,            0.009505,            0.009505,            0.009505
                  12,            0.079883,              0.1287,             0.02644,             0.20764,             0.31181,             0.14348,            0.052826,            0.078903,            0.096397,            0.027358,           0.0094555,           0.0094555,           0.0094555
                  13,            0.077118,             0.13393,            0.026483,             0.41487,             0.13517,            0.058092,            0.017423,            0.090681,             0.14388,            0.026543,            0.009406,            0.009406,            0.009406
                  14,            0.079087,             0.13899,            0.026272,             0.32138,             0.33199,             0.16598,            0.063678,            0.076597,             0.10624,            0.025985,           0.0093565,           0.0093565,           0.0093565
                  15,            0.076233,             0.14265,            0.025703,             0.37535,             0.31948,             0.19274,            0.080974,            0.075786,            0.095314,            0.026093,            0.009307,            0.009307,            0.009307
                  16,            0.073728,             0.13048,            0.022748,             0.22227,             0.29709,             0.18284,             0.06404,            0.076016,            0.087387,            0.026196,           0.0092575,           0.0092575,           0.0092575
                  17,            0.072227,             0.13172,            0.023281,             0.33457,             0.28517,             0.21432,            0.085503,            0.070882,            0.086845,            0.025697,            0.009208,            0.009208,            0.009208
                  18,            0.068399,             0.12787,            0.023771,             0.20122,                0.35,              0.1577,            0.062528,            0.073346,            0.093269,            0.025028,           0.0091585,           0.0091585,           0.0091585
                  19,            0.072253,             0.13435,            0.022461,             0.13226,             0.33261,              0.1648,            0.067194,            0.071963,            0.098969,            0.026269,            0.009109,            0.009109,            0.009109
                  20,            0.066886,             0.12956,            0.021143,             0.17652,             0.35566,             0.18729,            0.079514,            0.070855,            0.093796,            0.026365,           0.0090595,           0.0090595,           0.0090595
                  21,            0.063088,             0.12573,            0.023254,             0.17252,             0.42212,             0.17272,            0.075874,            0.071158,            0.098709,            0.023882,             0.00901,             0.00901,             0.00901
                  22,             0.07018,             0.12463,            0.021563,             0.25355,             0.30739,              0.2142,            0.091569,            0.070757,            0.090363,            0.023742,           0.0089605,           0.0089605,           0.0089605
                  23,             0.06834,             0.11867,            0.020082,             0.26561,             0.34686,             0.22704,             0.10765,            0.064242,            0.092552,            0.024124,            0.008911,            0.008911,            0.008911
                  24,            0.062896,             0.12608,              0.0184,             0.20326,             0.42041,             0.19175,            0.089584,            0.070556,             0.10301,            0.024133,           0.0088615,           0.0088615,           0.0088615
                  25,            0.065592,             0.13037,            0.020182,             0.32493,             0.36104,             0.23436,             0.11026,            0.065577,            0.095825,             0.02439,            0.008812,            0.008812,            0.008812
                  26,            0.066389,             0.12778,            0.019068,             0.27555,             0.35399,             0.20432,            0.090545,            0.071499,            0.089638,            0.024374,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065851,             0.12214,            0.020332,             0.29234,             0.28133,             0.20631,            0.078905,            0.071762,            0.093094,            0.025063,            0.008713,            0.008713,            0.008713
                  28,            0.067202,             0.12214,            0.019789,             0.47247,             0.30205,              0.2732,             0.13262,            0.064278,              0.0979,            0.025394,           0.0086635,           0.0086635,           0.0086635
                  29,            0.061512,              0.1141,            0.021579,             0.40585,             0.31468,             0.24004,              0.1005,            0.067874,            0.094009,            0.026349,            0.008614,            0.008614,            0.008614
                  30,            0.064233,             0.11717,            0.021671,             0.30991,             0.34249,             0.20804,            0.094518,            0.065965,            0.095055,            0.025813,           0.0085645,           0.0085645,           0.0085645
                  31,            0.063365,             0.11226,             0.01985,             0.37691,             0.30162,             0.29258,             0.12789,            0.065881,            0.099831,            0.025637,            0.008515,            0.008515,            0.008515
                  32,            0.055518,             0.11356,            0.019286,             0.33834,             0.36354,             0.25802,             0.12056,            0.065083,            0.095581,            0.024964,           0.0084655,           0.0084655,           0.0084655
                  33,            0.066243,             0.12043,             0.01862,             0.38093,             0.37035,             0.24865,             0.11208,             0.06591,            0.097504,            0.025179,            0.008416,            0.008416,            0.008416
                  34,            0.063957,             0.11356,            0.016846,             0.45419,             0.32467,             0.26204,             0.11883,            0.065228,            0.098106,            0.025323,           0.0083665,           0.0083665,           0.0083665
                  35,            0.057849,             0.12324,            0.017774,             0.33738,             0.34975,             0.23501,             0.11329,             0.06493,             0.09758,            0.025454,            0.008317,            0.008317,            0.008317
                  36,            0.063564,             0.13044,            0.017794,             0.35776,             0.34251,             0.24849,             0.11922,            0.063628,            0.095184,            0.025111,           0.0082675,           0.0082675,           0.0082675
                  37,            0.060623,             0.13863,            0.019291,             0.28938,              0.4333,              0.2189,             0.11033,            0.064663,             0.10754,            0.023378,            0.008218,            0.008218,            0.008218
                  38,            0.060107,             0.12402,             0.02005,             0.37952,             0.34849,               0.292,             0.15108,            0.062274,            0.096161,            0.023268,           0.0081685,           0.0081685,           0.0081685
                  39,            0.057716,             0.10824,             0.01897,             0.40989,             0.35041,             0.26462,             0.12971,             0.06303,            0.097069,            0.022884,            0.008119,            0.008119,            0.008119
                  40,            0.054465,             0.11908,            0.018792,             0.41269,             0.34344,             0.23252,             0.12333,            0.063634,            0.097244,              0.0229,           0.0080695,           0.0080695,           0.0080695
                  41,            0.058532,             0.11111,            0.017808,             0.49888,             0.32697,             0.32686,             0.15924,            0.061815,            0.097206,            0.023277,             0.00802,             0.00802,             0.00802
                  42,            0.056629,               0.107,            0.017483,             0.41244,             0.32443,             0.25972,              0.1125,            0.064351,             0.09948,            0.022781,           0.0079705,           0.0079705,           0.0079705
                  43,            0.054233,             0.11569,            0.017523,             0.40003,             0.37833,             0.31591,             0.16062,            0.061292,            0.098427,            0.022934,            0.007921,            0.007921,            0.007921
                  44,             0.05493,             0.10177,            0.015734,             0.45962,              0.3379,               0.324,             0.15513,            0.062675,            0.096085,            0.023259,           0.0078715,           0.0078715,           0.0078715
                  45,            0.056581,             0.11482,            0.015627,             0.47398,             0.36155,             0.30735,             0.16064,            0.061817,            0.097321,             0.02347,            0.007822,            0.007822,            0.007822
                  46,            0.055299,             0.11943,            0.018657,             0.39167,              0.3863,             0.28838,             0.13105,            0.064165,             0.10265,            0.023062,           0.0077725,           0.0077725,           0.0077725
                  47,            0.059039,              0.1046,            0.015682,             0.40246,             0.41773,              0.3406,             0.16767,            0.060318,            0.099098,            0.023316,            0.007723,            0.007723,            0.007723
                  48,            0.049413,             0.10262,            0.016003,             0.50399,             0.35314,             0.32571,             0.17257,            0.059608,             0.10149,              0.0249,           0.0076735,           0.0076735,           0.0076735
                  49,            0.055759,                0.11,            0.017682,             0.54433,             0.33322,             0.29242,             0.14916,            0.064539,            0.099258,            0.024527,            0.007624,            0.007624,            0.007624
                  50,            0.059289,             0.12053,            0.016533,             0.41733,              0.3958,             0.35859,             0.19524,            0.059022,            0.097687,            0.024017,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052395,             0.10593,            0.017502,             0.55429,             0.33638,             0.34245,             0.17035,             0.06162,             0.10094,            0.023467,            0.007525,            0.007525,            0.007525
                  52,            0.052747,             0.10427,            0.016334,             0.41904,             0.35729,             0.34069,             0.18207,            0.058742,             0.10161,            0.023296,           0.0074755,           0.0074755,           0.0074755
                  53,            0.048896,             0.11668,            0.015401,             0.50693,             0.36292,             0.34203,             0.18811,            0.057247,             0.10161,            0.023435,            0.007426,            0.007426,            0.007426
                  54,            0.051345,             0.10756,            0.016858,             0.31907,             0.37208,             0.29387,             0.14973,             0.06119,             0.10076,            0.024886,           0.0073765,           0.0073765,           0.0073765
                  55,            0.051823,             0.11595,             0.01574,             0.49754,             0.32989,             0.33344,             0.17807,            0.058443,             0.09935,            0.025143,            0.007327,            0.007327,            0.007327
                  56,            0.047913,            0.097961,            0.015411,             0.42963,             0.30235,             0.31761,             0.17981,            0.061613,             0.10808,            0.025262,           0.0072775,           0.0072775,           0.0072775
                  57,            0.053762,             0.11885,            0.016673,             0.48187,             0.34585,             0.33775,             0.19752,            0.058069,             0.10236,            0.024319,            0.007228,            0.007228,            0.007228
                  58,            0.049602,             0.11269,            0.017415,             0.47144,             0.37604,             0.32679,             0.17734,            0.060384,             0.10279,            0.023618,           0.0071785,           0.0071785,           0.0071785
                  59,            0.052357,             0.10457,            0.013589,             0.47654,              0.3198,             0.30521,             0.16433,             0.06177,             0.10448,            0.022854,            0.007129,            0.007129,            0.007129
                  60,            0.051121,             0.09496,            0.015517,             0.40403,             0.33723,             0.32403,             0.18088,            0.059442,             0.10596,            0.022684,           0.0070795,           0.0070795,           0.0070795
                  61,            0.050929,             0.11478,            0.016305,             0.36607,             0.35536,             0.31916,             0.16981,            0.059763,             0.10434,             0.02279,             0.00703,             0.00703,             0.00703
                  62,            0.050414,             0.10797,            0.014404,              0.4326,             0.35207,             0.31072,             0.16741,            0.060273,            0.099648,            0.022781,           0.0069805,           0.0069805,           0.0069805
                  63,            0.051562,              0.1048,            0.013701,             0.43134,             0.38067,             0.34956,              0.1925,            0.057868,            0.099297,            0.022936,            0.006931,            0.006931,            0.006931
                  64,            0.047598,             0.10599,            0.014457,             0.44973,             0.37997,             0.35638,             0.19482,            0.057527,            0.098495,            0.023614,           0.0068815,           0.0068815,           0.0068815
                  65,            0.052634,             0.11931,            0.015047,             0.46839,              0.3442,             0.34504,              0.1927,            0.057227,            0.099121,            0.023554,            0.006832,            0.006832,            0.006832
                  66,            0.049681,            0.099944,             0.01453,             0.42867,             0.35222,              0.3544,             0.19544,            0.057005,             0.09993,            0.022836,           0.0067825,           0.0067825,           0.0067825
                  67,            0.048122,             0.10458,             0.01413,             0.49994,             0.36045,             0.36518,             0.20101,            0.055975,             0.10011,            0.023314,            0.006733,            0.006733,            0.006733
                  68,            0.050385,             0.10283,            0.014244,             0.40251,              0.3953,              0.3282,             0.17995,            0.057574,              0.1013,             0.02349,           0.0066835,           0.0066835,           0.0066835
                  69,            0.052234,             0.10612,            0.013753,             0.38542,             0.34248,             0.31415,             0.16416,            0.059399,             0.10143,            0.023431,            0.006634,            0.006634,            0.006634
                  70,            0.051087,             0.11194,            0.012208,              0.4801,             0.33865,             0.32716,             0.18865,            0.056284,             0.10413,            0.024431,           0.0065845,           0.0065845,           0.0065845
                  71,            0.049157,             0.10062,            0.013303,             0.47985,             0.26811,             0.30569,             0.17044,            0.058203,             0.10534,            0.026614,            0.006535,            0.006535,            0.006535
                  72,            0.048288,             0.10508,             0.01403,             0.42318,             0.33253,             0.31212,             0.17583,            0.058653,             0.10294,            0.024104,           0.0064855,           0.0064855,           0.0064855
                  73,            0.050427,             0.11277,            0.013871,             0.42884,             0.35687,              0.3287,             0.19112,            0.055991,             0.10302,            0.023985,            0.006436,            0.006436,            0.006436
                  74,            0.050504,             0.11264,            0.014591,             0.51349,             0.32472,             0.32873,             0.18557,            0.058884,              0.1035,            0.024662,           0.0063865,           0.0063865,           0.0063865
                  75,            0.046041,            0.092266,            0.013993,             0.34624,             0.33118,             0.29695,             0.16453,            0.059098,             0.10847,            0.026802,            0.006337,            0.006337,            0.006337
                  76,            0.048423,            0.094679,            0.014303,             0.44821,             0.30802,             0.32895,             0.19042,            0.057965,             0.10744,            0.024989,           0.0062875,           0.0062875,           0.0062875
                  77,            0.046694,            0.099432,            0.012637,             0.50564,             0.32212,              0.3316,             0.17716,            0.058219,              0.1034,            0.023474,            0.006238,            0.006238,            0.006238
                  78,            0.049779,              0.1031,            0.013615,             0.43866,             0.33814,             0.33355,             0.18532,            0.059188,             0.10459,             0.02355,           0.0061885,           0.0061885,           0.0061885
                  79,            0.048528,             0.10251,            0.013673,             0.43216,             0.35077,             0.33749,             0.18873,            0.059014,               0.104,            0.023941,            0.006139,            0.006139,            0.006139
                  80,            0.047844,             0.10468,            0.012734,             0.46844,             0.37908,             0.34775,             0.19287,             0.05848,              0.1021,            0.023174,           0.0060895,           0.0060895,           0.0060895
                  81,            0.050935,             0.11638,            0.011342,             0.42015,              0.3722,             0.35139,             0.20263,            0.056612,             0.10342,            0.022934,             0.00604,             0.00604,             0.00604
                  82,            0.046595,              0.1012,            0.013061,             0.40919,             0.38762,             0.36767,             0.19543,            0.058539,             0.10573,            0.022808,           0.0059905,           0.0059905,           0.0059905
                  83,            0.050046,             0.10858,            0.013473,             0.58245,             0.34243,             0.37161,             0.20653,            0.056354,             0.10546,            0.022458,            0.005941,            0.005941,            0.005941
