               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12045,             0.10966,            0.040647,           0.0050852,            0.090712,           0.0029874,          0.00071272,             0.12271,            0.076019,            0.042957,              0.0973,              0.0003,              0.0003
                   1,             0.11944,             0.11907,            0.040269,           0.0073877,             0.13698,           0.0044608,           0.0010497,             0.12012,            0.077988,            0.042407,            0.093693,          0.00069307,          0.00069307
                   2,             0.11316,             0.11534,             0.03894,           0.0095028,             0.17788,           0.0063187,           0.0014544,             0.11573,            0.082413,            0.041556,            0.090078,           0.0010782,           0.0010782
                   3,             0.11271,             0.14763,            0.038096,            0.011949,             0.22136,           0.0095658,           0.0022634,             0.11067,            0.087494,            0.040494,            0.086455,           0.0014555,           0.0014555
                   4,              0.1078,             0.14489,            0.037006,            0.017053,              0.3212,            0.018129,           0.0038544,              0.1054,            0.092255,            0.039551,            0.082825,           0.0018248,           0.0018248
                   5,              0.1047,              0.1354,              0.0356,            0.034201,             0.16047,             0.02693,           0.0067131,             0.10057,            0.094879,            0.038626,            0.079186,           0.0021861,           0.0021861
                   6,            0.099876,             0.15807,            0.033261,            0.050342,             0.15876,            0.042321,            0.012169,            0.096748,             0.11414,            0.038141,             0.07554,           0.0025396,           0.0025396
                   7,            0.095302,             0.15059,            0.034054,             0.70612,            0.073171,            0.038281,             0.01047,            0.095477,             0.16553,            0.037454,            0.071885,           0.0028852,           0.0028852
                   8,            0.088654,             0.12782,            0.031972,             0.74409,            0.097561,            0.078376,             0.02544,            0.088881,             0.12576,            0.036163,            0.068223,           0.0032228,           0.0032228
                   9,            0.088331,             0.13555,            0.029764,            0.046012,             0.36713,            0.054431,            0.017591,            0.091421,             0.13553,            0.034964,            0.064553,           0.0035525,           0.0035525
