               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,             0.11803,            0.040361,           0.0050671,            0.092254,           0.0030306,          0.00071322,             0.12212,            0.076279,            0.042883,              0.0946,              0.0006,              0.0006
                   1,             0.11647,             0.12785,            0.039868,           0.0089486,             0.17046,           0.0057446,           0.0013928,              0.1171,            0.081009,            0.041995,            0.088291,           0.0012914,           0.0012914
                   2,             0.11116,             0.12631,            0.038148,            0.011521,             0.22128,           0.0098829,           0.0021934,               0.111,            0.086609,             0.04043,            0.081974,           0.0019736,           0.0019736
                   3,             0.10762,             0.14303,            0.036948,            0.026452,            0.087888,            0.021739,           0.0041658,              0.1052,            0.090363,             0.03913,            0.075647,           0.0026465,           0.0026465
                   4,             0.10459,             0.15873,            0.035293,            0.039059,             0.23167,            0.036648,           0.0087295,            0.099474,             0.11655,            0.038168,             0.06931,           0.0033102,           0.0033102
                   5,             0.10041,             0.13614,            0.033346,            0.038497,             0.27524,            0.043644,            0.012117,            0.096285,             0.15433,            0.037363,            0.062965,           0.0039647,           0.0039647
                   6,            0.089769,             0.12311,            0.030195,             0.73525,            0.098572,            0.074012,            0.025299,            0.089566,              0.1199,            0.036694,             0.05661,           0.0046099,           0.0046099
                   7,            0.089186,             0.13257,            0.031376,             0.06525,             0.34983,            0.057407,            0.016236,            0.092263,             0.13675,            0.035165,            0.050246,           0.0052459,           0.0052459
                   8,            0.085887,             0.12138,            0.029851,            0.070126,              0.3269,            0.066463,            0.019336,            0.094694,              0.1329,            0.034232,            0.043873,           0.0058726,           0.0058726
                   9,            0.085848,             0.13531,            0.029589,             0.20915,             0.30902,             0.10682,            0.034121,             0.08806,             0.10464,            0.031494,             0.03749,           0.0064901,           0.0064901
                  10,            0.081885,             0.14502,            0.027473,             0.16676,             0.31127,             0.09767,            0.032924,            0.089092,              0.1123,            0.030276,            0.031098,           0.0070984,           0.0070984
                  11,            0.083675,             0.11314,            0.028756,             0.15104,             0.34537,             0.12828,            0.040668,            0.079933,            0.091187,             0.02877,            0.024697,           0.0076974,           0.0076974
                  12,            0.085209,             0.12315,            0.027804,             0.11646,             0.37683,            0.098645,            0.030958,            0.099325,             0.09668,            0.028331,            0.018287,           0.0082872,           0.0082872
                  13,            0.085099,             0.12539,            0.025806,             0.10703,             0.40932,            0.088403,            0.031271,            0.093351,             0.12045,            0.027745,            0.011868,           0.0088677,           0.0088677
                  14,            0.085278,             0.14154,            0.025558,             0.42034,             0.33912,             0.13677,            0.054449,            0.089264,             0.11386,            0.027251,            0.009076,            0.009076,            0.009076
                  15,            0.078554,              0.1349,            0.026657,             0.17362,             0.29926,             0.15019,            0.057177,            0.082139,            0.093216,            0.025923,            0.009076,            0.009076,            0.009076
                  16,            0.080063,             0.10514,               0.023,             0.21596,             0.24943,             0.12955,            0.041477,            0.088873,            0.086761,            0.025749,             0.00901,             0.00901,             0.00901
                  17,            0.078516,             0.13183,            0.021636,             0.22397,             0.33924,             0.17034,            0.072031,             0.08244,             0.10071,            0.025859,            0.008944,            0.008944,            0.008944
                  18,            0.074452,             0.12014,            0.023996,             0.17313,             0.34446,             0.15097,            0.061374,            0.079419,             0.10034,            0.025539,            0.008878,            0.008878,            0.008878
                  19,            0.072785,             0.13321,            0.021781,             0.18172,             0.35343,             0.19947,             0.08395,            0.071573,            0.090378,            0.024307,            0.008812,            0.008812,            0.008812
                  20,             0.07158,             0.12502,            0.020341,             0.18808,              0.3412,             0.16693,            0.053144,            0.076176,            0.089951,             0.02438,            0.008746,            0.008746,            0.008746
                  21,            0.069901,             0.11708,            0.021942,             0.11649,             0.40565,             0.11568,            0.039077,            0.078515,            0.090973,            0.025076,             0.00868,             0.00868,             0.00868
                  22,            0.070833,             0.11808,            0.021012,             0.13158,             0.35254,             0.14442,            0.065312,            0.075052,            0.092087,            0.025461,            0.008614,            0.008614,            0.008614
                  23,            0.071044,              0.1234,            0.018365,             0.22661,             0.36676,               0.207,            0.092837,            0.066132,            0.091461,            0.024202,            0.008548,            0.008548,            0.008548
                  24,             0.06661,             0.12434,            0.018212,             0.25028,             0.32928,             0.18678,            0.073184,            0.073727,            0.095413,            0.024339,            0.008482,            0.008482,            0.008482
                  25,             0.06693,              0.1195,            0.018537,             0.21336,             0.28396,             0.16755,            0.058606,            0.073346,             0.09201,            0.024582,            0.008416,            0.008416,            0.008416
                  26,            0.066851,             0.12924,            0.018488,             0.17442,             0.42491,             0.19984,            0.082668,            0.068619,            0.099213,            0.024962,             0.00835,             0.00835,             0.00835
                  27,            0.069861,             0.12164,            0.017184,             0.28492,             0.31944,             0.23529,            0.093944,            0.067846,            0.094772,            0.025859,            0.008284,            0.008284,            0.008284
                  28,             0.06398,             0.12721,            0.018851,             0.29572,             0.31464,             0.22074,            0.098587,            0.067118,            0.089844,            0.023689,            0.008218,            0.008218,            0.008218
                  29,             0.06143,            0.099456,            0.019633,             0.23647,             0.30488,             0.18358,            0.087526,            0.070965,            0.091431,            0.024353,            0.008152,            0.008152,            0.008152
                  30,            0.066496,             0.12077,            0.018379,             0.25993,             0.35293,             0.22036,             0.10626,            0.064108,            0.096756,            0.026289,            0.008086,            0.008086,            0.008086
                  31,            0.060592,             0.10957,            0.019637,             0.29947,             0.31315,             0.21185,             0.10166,            0.066922,            0.093384,            0.024165,             0.00802,             0.00802,             0.00802
                  32,            0.061068,              0.1076,            0.017221,             0.25946,             0.31602,             0.22705,             0.10517,            0.065039,            0.093353,            0.023808,            0.007954,            0.007954,            0.007954
                  33,            0.062231,                0.12,            0.017377,             0.29672,             0.36593,             0.22223,              0.1005,            0.066919,            0.093536,            0.023524,            0.007888,            0.007888,            0.007888
                  34,            0.062621,             0.10401,            0.016574,             0.33108,             0.35204,             0.25399,             0.12612,            0.063182,            0.092957,            0.023076,            0.007822,            0.007822,            0.007822
                  35,            0.061571,             0.12176,            0.016767,             0.40068,             0.36504,             0.29785,             0.14586,             0.06067,            0.099411,            0.023053,            0.007756,            0.007756,            0.007756
