               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12067,            0.079785,            0.077095,          0.00047499,            0.080947,          0.00039483,          0.00013365,             0.11979,            0.057201,            0.080872,              0.0892,              0.0012,              0.0012
                   1,             0.11376,            0.085009,             0.07605,           0.0010407,            0.094241,           0.0010263,          0.00032022,             0.11306,            0.057758,            0.078979,            0.077475,           0.0024753,           0.0024753
                   2,             0.10111,            0.093514,            0.072605,           0.0067305,             0.21253,           0.0092333,           0.0025118,             0.10611,            0.059349,            0.076642,            0.065725,           0.0037248,           0.0037248
                   3,            0.095891,            0.099215,            0.071937,           0.0039913,              0.1764,           0.0039396,           0.0011564,            0.099985,            0.067158,            0.071832,            0.053949,           0.0049485,           0.0049485
                   4,            0.094059,             0.11605,            0.067861,           0.0057971,              0.1845,            0.010444,           0.0044402,            0.091124,             0.10197,            0.065399,            0.042147,           0.0061466,           0.0061466
                   5,             0.08669,             0.11033,            0.063523,            0.074549,             0.15102,            0.014557,           0.0039072,            0.090533,            0.089787,            0.060608,            0.030319,           0.0073188,           0.0073188
                   6,            0.081819,            0.092521,            0.060128,           0.0089345,             0.28995,            0.019591,           0.0058417,            0.091297,            0.068764,            0.058331,            0.018465,           0.0084654,           0.0084654
                   7,            0.083275,              0.1021,            0.058338,             0.13354,             0.18752,            0.015101,           0.0037586,            0.091172,            0.078964,            0.057916,            0.009307,            0.009307,            0.009307
                   8,             0.08052,            0.088711,            0.058575,             0.25722,             0.10952,            0.025191,            0.012984,            0.095755,            0.071991,            0.057941,            0.009307,            0.009307,            0.009307
                   9,              0.0852,            0.095168,            0.056786,             0.50624,             0.10942,            0.021269,           0.0062562,            0.093139,            0.074783,            0.057007,            0.009208,            0.009208,            0.009208
                  10,            0.082722,            0.088728,            0.055788,             0.72017,             0.05714,            0.034089,            0.015181,            0.079116,            0.066525,            0.055591,            0.009109,            0.009109,            0.009109
                  11,            0.072494,            0.099571,            0.055514,             0.72736,            0.045885,            0.029385,            0.011938,            0.087296,            0.072334,            0.056232,             0.00901,             0.00901,             0.00901
                  12,            0.078195,            0.090132,            0.054565,             0.59124,             0.15973,            0.037874,            0.016312,            0.081193,            0.065552,            0.056183,            0.008911,            0.008911,            0.008911
                  13,            0.071752,            0.090752,            0.055908,             0.70117,            0.070941,            0.032208,            0.012946,            0.083939,            0.062748,             0.05545,            0.008812,            0.008812,            0.008812
                  14,            0.073181,            0.093893,             0.05693,             0.72506,            0.076716,            0.066915,            0.030567,             0.07526,             0.06715,            0.054761,            0.008713,            0.008713,            0.008713
                  15,            0.071419,            0.096122,            0.053821,             0.77502,            0.081921,             0.12345,            0.074513,            0.079841,            0.066746,            0.054688,            0.008614,            0.008614,            0.008614
                  16,            0.068282,            0.088889,            0.052997,             0.67244,             0.12104,             0.10446,             0.06178,            0.074833,            0.061996,            0.054483,            0.008515,            0.008515,            0.008515
                  17,             0.06974,             0.10256,            0.050124,              0.6917,             0.12071,             0.11014,            0.055061,            0.076166,            0.059952,            0.055124,            0.008416,            0.008416,            0.008416
                  18,             0.06465,            0.094386,            0.052358,             0.56695,             0.17755,             0.10344,            0.050306,            0.072948,            0.064465,            0.054819,            0.008317,            0.008317,            0.008317
                  19,            0.063439,            0.096988,            0.052239,              0.5325,             0.16822,            0.097735,            0.044713,            0.070639,            0.067192,            0.054282,            0.008218,            0.008218,            0.008218
                  20,            0.063736,            0.094746,            0.052654,             0.66132,             0.14457,             0.11023,            0.056374,            0.072198,            0.061466,            0.054355,            0.008119,            0.008119,            0.008119
                  21,            0.062794,             0.10347,            0.053407,             0.34435,             0.16482,             0.12279,            0.050414,             0.06856,            0.064468,            0.054517,             0.00802,             0.00802,             0.00802
                  22,            0.062108,            0.082311,            0.051995,             0.44939,              0.1505,             0.16491,            0.065386,            0.070851,            0.065727,            0.054105,            0.007921,            0.007921,            0.007921
