               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11884,             0.12997,            0.040341,           0.0088384,             0.17504,           0.0057663,           0.0012346,             0.11985,             0.11345,            0.042542,              0.0775,              0.0025,              0.0025
                   1,              0.1102,             0.11996,            0.038743,            0.027915,            0.076211,            0.015897,           0.0039319,             0.10562,             0.13905,            0.037747,            0.054075,           0.0050748,           0.0050748
                   2,             0.10239,             0.15238,            0.036753,            0.046917,             0.20941,            0.034658,           0.0077962,             0.10112,             0.14708,            0.036875,            0.030624,           0.0076238,           0.0076238
                   3,            0.097312,             0.13878,            0.033632,            0.053467,             0.25924,            0.043677,            0.012116,            0.094941,             0.14993,            0.034348,           0.0098515,           0.0098515,           0.0098515
                   4,            0.093218,             0.12709,            0.031616,            0.038382,             0.31935,            0.030453,           0.0089848,            0.099186,             0.12624,            0.033591,           0.0098515,           0.0098515,           0.0098515
                   5,            0.091388,             0.13041,            0.029875,             0.07087,             0.26282,            0.037854,           0.0097273,             0.10367,             0.12273,            0.033337,            0.009802,            0.009802,            0.009802
                   6,            0.093926,             0.11763,            0.031645,             0.22811,             0.20217,            0.071592,            0.018914,            0.094041,             0.12199,            0.031954,           0.0097525,           0.0097525,           0.0097525
                   7,            0.087118,             0.13688,            0.030168,             0.14523,             0.38834,             0.11846,            0.039919,            0.089651,             0.14741,            0.032108,            0.009703,            0.009703,            0.009703
                   8,            0.085203,             0.13427,            0.029274,             0.12668,             0.34778,             0.10047,            0.038048,            0.089409,             0.12412,            0.030414,           0.0096535,           0.0096535,           0.0096535
                   9,            0.082514,             0.12957,            0.027779,             0.14935,             0.33123,              0.1165,              0.0376,            0.081751,              0.1287,             0.02974,            0.009604,            0.009604,            0.009604
                  10,            0.081186,             0.13491,            0.029457,             0.13562,             0.37605,             0.10998,            0.038096,            0.091243,               0.156,            0.028954,           0.0095545,           0.0095545,           0.0095545
                  11,            0.077866,             0.13929,            0.027987,             0.17589,             0.28674,             0.13396,            0.048561,            0.083052,             0.12932,            0.027596,            0.009505,            0.009505,            0.009505
                  12,            0.078751,             0.12908,            0.025558,             0.21954,             0.28917,             0.19024,            0.066759,            0.075817,             0.13376,            0.027221,           0.0094555,           0.0094555,           0.0094555
                  13,            0.072747,             0.12433,            0.026001,             0.19632,             0.34328,             0.15203,            0.066524,            0.082985,             0.13803,            0.026475,            0.009406,            0.009406,            0.009406
                  14,            0.074171,              0.1282,             0.02646,             0.22579,             0.30354,             0.18613,            0.078117,            0.073203,             0.14359,            0.026245,           0.0093565,           0.0093565,           0.0093565
                  15,            0.067699,             0.12747,            0.024963,             0.20369,             0.43098,              0.2052,            0.086542,             0.07043,              0.1434,            0.025699,            0.009307,            0.009307,            0.009307
                  16,             0.06932,             0.12944,            0.025599,             0.16865,             0.19341,             0.13723,            0.052872,            0.077114,             0.13525,            0.026135,           0.0092575,           0.0092575,           0.0092575
                  17,            0.070362,             0.13032,            0.022085,             0.25525,             0.39344,             0.19812,            0.090488,            0.068097,             0.14107,            0.026896,            0.009208,            0.009208,            0.009208
