               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,             0.11803,            0.040361,           0.0050671,            0.092254,           0.0030306,          0.00071322,             0.12212,            0.076279,            0.042883,              0.0946,              0.0006,              0.0006
                   1,             0.11647,             0.12785,            0.039868,           0.0089492,             0.17046,           0.0057475,           0.0013931,             0.11711,            0.081009,            0.041995,            0.088293,           0.0012929,           0.0012929
                   2,             0.11114,             0.12633,             0.03815,            0.011061,             0.21499,            0.009833,           0.0020521,             0.11099,            0.086472,            0.040366,            0.081978,            0.001978,            0.001978
                   3,             0.10766,             0.14294,            0.036948,            0.036127,            0.096185,            0.024204,            0.004889,             0.10449,            0.090408,             0.03891,            0.075655,           0.0026555,           0.0026555
                   4,             0.10457,              0.1586,            0.035281,            0.038173,             0.22662,            0.034482,           0.0087069,            0.099444,             0.11807,            0.038196,            0.069325,           0.0033252,           0.0033252
                   5,             0.10034,             0.13617,            0.033321,            0.050826,             0.17648,            0.044456,             0.01232,             0.09623,              0.1557,            0.037436,            0.062987,           0.0039873,           0.0039873
                   6,            0.089717,             0.12313,            0.030157,             0.74745,            0.079675,            0.077824,            0.027174,            0.089786,             0.11887,            0.036575,            0.056642,           0.0046416,           0.0046416
                   7,            0.089283,             0.13285,            0.031359,            0.057974,             0.30172,            0.066576,            0.019305,            0.092045,             0.12311,            0.034497,            0.050288,           0.0052883,           0.0052883
                   8,             0.08739,             0.12086,            0.029751,             0.05867,             0.35246,            0.066375,            0.020189,            0.092559,              0.1227,            0.034506,            0.043927,           0.0059272,           0.0059272
                   9,            0.085397,             0.13606,            0.029676,             0.13594,             0.31811,             0.11016,            0.038699,            0.085749,             0.10948,            0.031439,            0.037558,           0.0065584,           0.0065584
                  10,            0.080753,             0.14663,            0.027486,             0.11009,             0.34629,             0.09902,            0.035957,            0.089585,             0.11252,            0.030295,            0.031182,            0.007182,            0.007182
                  11,            0.083376,             0.11359,            0.028709,             0.19263,             0.29109,             0.13106,             0.04051,            0.082149,            0.090683,            0.028564,            0.024798,           0.0077979,           0.0077979
                  12,            0.083849,              0.1243,             0.02777,             0.25855,             0.31773,             0.12726,            0.043306,            0.092949,             0.10132,            0.027786,            0.018406,            0.008406,            0.008406
                  13,            0.080907,             0.12835,            0.025688,             0.12255,             0.52458,             0.13177,            0.041231,            0.087845,             0.13812,            0.027631,            0.012006,           0.0090064,           0.0090064
                  14,             0.08487,             0.14457,            0.025348,             0.20456,             0.43809,             0.15328,            0.048884,             0.08075,             0.10577,            0.027461,             0.00923,             0.00923,             0.00923
                  15,            0.080529,             0.13303,            0.026487,             0.17934,             0.37336,              0.1885,            0.069649,            0.081439,            0.091415,            0.025351,             0.00923,             0.00923,             0.00923
                  16,            0.079035,              0.1071,            0.022789,             0.34736,             0.23818,             0.14745,            0.058667,            0.084967,            0.091125,            0.025154,            0.009175,            0.009175,            0.009175
                  17,            0.073894,             0.13305,            0.021318,             0.14224,             0.42525,             0.16896,            0.067091,            0.082024,             0.10088,            0.025648,             0.00912,             0.00912,             0.00912
                  18,            0.081089,               0.115,            0.023716,             0.16624,             0.38718,              0.1435,            0.061472,            0.081124,            0.088425,            0.025626,            0.009065,            0.009065,            0.009065
                  19,            0.074741,             0.13262,            0.021704,             0.13917,             0.43274,             0.14452,            0.052399,            0.079404,            0.089722,            0.025127,             0.00901,             0.00901,             0.00901
                  20,            0.075151,              0.1236,            0.019963,             0.22747,              0.3126,             0.17723,            0.069972,            0.076022,            0.089508,            0.025108,            0.008955,            0.008955,            0.008955
                  21,            0.069711,             0.11878,            0.021782,             0.14853,             0.33707,             0.14554,            0.054975,             0.07681,            0.090439,            0.024774,              0.0089,              0.0089,              0.0089
                  22,            0.070011,             0.11877,            0.020931,             0.14614,             0.34425,             0.12778,            0.048614,            0.077819,            0.089264,            0.025145,            0.008845,            0.008845,            0.008845
                  23,            0.071587,             0.12498,            0.018184,             0.34078,             0.33019,              0.2146,            0.095919,            0.067788,            0.089706,             0.02439,             0.00879,             0.00879,             0.00879
                  24,            0.069284,             0.12429,            0.018249,             0.22487,             0.31234,             0.22199,            0.078135,            0.073631,            0.091141,            0.023817,            0.008735,            0.008735,            0.008735
                  25,            0.068611,             0.11856,            0.018434,              0.2053,             0.35092,             0.15599,             0.06387,            0.077548,            0.088882,              0.0239,             0.00868,             0.00868,             0.00868
                  26,            0.067565,             0.12881,            0.018571,             0.24849,             0.39132,             0.21331,            0.098505,            0.067847,            0.095016,            0.023987,            0.008625,            0.008625,            0.008625
                  27,            0.071939,             0.11822,            0.017263,             0.21699,             0.35842,             0.22084,            0.093665,             0.06855,            0.093628,            0.024522,             0.00857,             0.00857,             0.00857
                  28,            0.062893,              0.1286,            0.018931,               0.508,             0.25145,             0.21914,             0.10057,            0.066716,            0.093643,            0.023969,            0.008515,            0.008515,            0.008515
                  29,            0.063647,            0.098703,            0.019538,             0.25969,             0.30189,             0.18501,             0.09135,            0.071612,            0.092865,            0.024957,             0.00846,             0.00846,             0.00846
                  30,            0.066062,             0.12031,            0.018291,             0.44656,             0.37047,             0.29669,             0.14582,            0.059854,            0.095352,            0.024623,            0.008405,            0.008405,            0.008405
                  31,            0.061186,             0.11031,            0.019444,             0.33688,             0.34851,             0.27229,              0.1381,            0.063247,            0.090347,            0.022787,             0.00835,             0.00835,             0.00835
                  32,            0.059109,             0.10885,            0.017427,             0.31616,             0.32767,             0.25988,             0.12524,            0.064144,            0.088974,            0.024907,            0.008295,            0.008295,            0.008295
                  33,            0.060873,             0.12053,            0.017344,             0.36532,             0.32134,             0.24006,             0.11662,            0.067174,            0.091537,            0.023987,             0.00824,             0.00824,             0.00824
                  34,            0.060941,             0.10442,            0.016533,             0.38601,             0.30075,             0.27242,             0.14125,            0.065726,            0.094421,            0.023557,            0.008185,            0.008185,            0.008185
                  35,            0.060921,             0.12061,             0.01653,             0.41971,               0.367,             0.28133,             0.14701,            0.063066,             0.09549,            0.023543,             0.00813,             0.00813,             0.00813
                  36,            0.062711,             0.12636,            0.016416,             0.47631,             0.35016,             0.31184,             0.15089,            0.063065,            0.092834,            0.023483,            0.008075,            0.008075,            0.008075
                  37,            0.060538,             0.13119,             0.01759,             0.45183,             0.37284,             0.25857,             0.11247,            0.066912,            0.099213,            0.023946,             0.00802,             0.00802,             0.00802
                  38,            0.057598,             0.11796,            0.015326,             0.54731,             0.30325,             0.28175,             0.14192,            0.060512,              0.1004,            0.023817,            0.007965,            0.007965,            0.007965
                  39,            0.057301,             0.11263,            0.017781,             0.35256,             0.36929,             0.27734,             0.14238,            0.063202,             0.09787,            0.023456,             0.00791,             0.00791,             0.00791
                  40,            0.056056,             0.11058,            0.016683,             0.37726,             0.33298,              0.2627,             0.12961,            0.063802,            0.094391,             0.02352,            0.007855,            0.007855,            0.007855
                  41,            0.056471,              0.1058,             0.01553,             0.36969,             0.33986,             0.30746,             0.15463,            0.063319,             0.09726,             0.02314,              0.0078,              0.0078,              0.0078
                  42,            0.056826,               0.104,            0.016123,             0.45814,             0.29079,             0.25941,             0.13634,            0.064486,            0.097656,            0.023099,            0.007745,            0.007745,            0.007745
                  43,            0.054655,            0.092095,            0.015012,             0.28011,             0.35237,             0.24583,              0.1307,            0.064706,             0.10289,             0.02298,             0.00769,             0.00769,             0.00769
                  44,            0.056152,             0.11037,            0.014783,             0.50944,             0.32072,             0.32813,             0.18736,            0.059685,            0.097931,            0.023026,            0.007635,            0.007635,            0.007635
                  45,            0.051135,             0.10873,            0.014126,             0.35928,             0.39527,             0.27172,             0.14508,            0.062064,             0.10294,             0.02363,             0.00758,             0.00758,             0.00758
                  46,            0.052892,             0.11094,            0.016093,             0.35476,             0.40414,             0.30595,             0.15946,            0.061721,             0.09642,            0.024573,            0.007525,            0.007525,            0.007525
                  47,            0.056234,             0.10009,            0.014458,             0.38353,             0.39793,             0.32232,             0.17161,            0.060447,            0.096207,            0.025616,             0.00747,             0.00747,             0.00747
                  48,             0.05393,            0.096508,            0.016056,             0.37673,             0.35633,             0.30824,             0.15257,            0.063274,            0.096375,            0.025191,            0.007415,            0.007415,            0.007415
