               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,             0.11803,            0.040361,           0.0050671,            0.092254,           0.0030306,          0.00071322,             0.12212,            0.076279,            0.042883,              0.0946,              0.0006,              0.0006
                   1,             0.11647,             0.12784,             0.03987,           0.0087797,             0.16441,           0.0056506,            0.001356,             0.11712,            0.081009,            0.042004,            0.088287,           0.0012871,           0.0012871
                   2,             0.11119,             0.12627,            0.038149,            0.011592,              0.2229,           0.0099723,           0.0021964,             0.11105,            0.086578,             0.04043,             0.08196,           0.0019604,           0.0019604
                   3,             0.10767,               0.143,            0.036963,            0.028592,             0.08472,            0.021659,           0.0043365,             0.10518,            0.090302,            0.039093,             0.07562,           0.0026198,           0.0026198
                   4,             0.10466,             0.15874,            0.035323,            0.039545,             0.23292,            0.035951,           0.0087184,            0.099458,             0.11517,            0.038196,            0.069265,           0.0032654,           0.0032654
                   5,             0.10053,             0.13617,            0.033389,            0.036104,             0.27245,            0.043523,            0.012016,            0.096405,             0.15344,            0.037454,            0.062897,            0.003897,            0.003897
                   6,            0.089963,              0.1232,            0.030258,             0.74533,            0.084553,            0.077629,            0.025336,             0.08947,              0.1196,            0.036603,            0.056515,           0.0045149,           0.0045149
                   7,            0.089375,             0.13268,            0.031447,            0.055631,             0.36629,            0.055911,             0.01651,            0.092307,             0.12741,            0.034964,            0.050119,           0.0051188,           0.0051188
                   8,            0.085901,             0.12151,            0.029889,            0.085038,             0.33441,            0.073581,            0.022804,             0.09355,             0.13449,            0.034232,            0.043709,            0.005709,            0.005709
                   9,            0.085471,             0.13535,            0.029706,             0.17033,             0.31252,             0.11718,            0.041692,            0.084814,             0.10327,            0.031714,            0.037285,           0.0062852,           0.0062852
                  10,            0.081721,             0.14567,            0.027513,             0.11389,             0.31365,             0.10653,            0.037521,            0.087416,             0.11002,            0.030853,            0.030848,           0.0068476,           0.0068476
                  11,            0.081898,             0.11527,            0.028852,             0.14248,             0.32698,             0.11569,            0.038253,            0.091257,            0.090469,            0.029178,            0.024396,           0.0073961,           0.0073961
                  12,            0.085157,             0.12328,            0.028039,              0.3119,             0.26967,              0.1179,            0.040879,            0.085789,            0.097672,            0.028661,            0.017931,           0.0079308,           0.0079308
