               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1229,            0.071521,            0.077663,          0.00053789,            0.022542,          0.00033081,          3.9203e-05,             0.12115,            0.050659,            0.081763,              0.0973,              0.0003,              0.0003
                   1,             0.11808,            0.078348,            0.077916,          0.00047064,            0.080947,          0.00038667,          0.00013269,             0.11913,            0.048721,            0.081079,            0.093693,          0.00069307,          0.00069307
                   2,             0.11224,            0.074118,            0.075987,          0.00095097,            0.092086,           0.0008485,          0.00025948,             0.11574,            0.047646,            0.079932,            0.090078,           0.0010782,           0.0010782
                   3,             0.10845,             0.10037,            0.076392,           0.0013021,             0.10119,           0.0013725,          0.00049793,             0.11185,            0.048126,            0.078394,            0.086455,           0.0014555,           0.0014555
                   4,             0.10465,             0.15286,             0.07329,           0.0048763,             0.14663,           0.0061795,           0.0015174,             0.10838,            0.048836,            0.076501,            0.082825,           0.0018248,           0.0018248
                   5,            0.099233,            0.097827,             0.07132,           0.0096278,             0.26338,            0.019231,            0.004718,             0.10513,            0.050552,            0.074463,            0.079186,           0.0021861,           0.0021861
                   6,             0.08878,            0.085264,            0.064659,            0.016528,             0.21151,            0.029798,            0.011133,             0.10042,             0.05687,            0.071545,             0.07554,           0.0025396,           0.0025396
                   7,            0.090998,             0.11986,            0.068849,           0.0064515,             0.22408,            0.009865,           0.0032033,            0.095865,             0.06871,            0.068579,            0.071885,           0.0028852,           0.0028852
                   8,            0.077678,            0.083538,            0.058253,            0.067797,             0.21986,            0.010845,           0.0060312,            0.092697,             0.09285,            0.065515,            0.068223,           0.0032228,           0.0032228
                   9,            0.076332,            0.081699,             0.06134,           0.0069613,              0.2177,            0.012072,           0.0042901,            0.087089,             0.10298,             0.06283,            0.064553,           0.0035525,           0.0035525
                  10,            0.083569,             0.10044,            0.059223,             0.73386,             0.04013,            0.014088,           0.0041058,            0.099135,             0.11363,            0.060156,            0.060874,           0.0038743,           0.0038743
                  11,            0.082757,             0.11112,            0.057858,             0.81065,            0.067788,            0.025982,            0.011283,            0.089244,             0.13403,            0.059766,            0.057188,           0.0041882,           0.0041882
                  12,            0.076011,            0.093025,            0.059339,             0.13535,             0.15472,            0.011034,           0.0030163,            0.087403,            0.092041,            0.059619,            0.053494,           0.0044941,           0.0044941
                  13,            0.067484,            0.085448,            0.056621,             0.39033,             0.13565,            0.022254,            0.011733,            0.083205,            0.083145,            0.058228,            0.049792,           0.0047922,           0.0047922
                  14,            0.073814,             0.10084,            0.056289,             0.54986,             0.10666,            0.031364,            0.013032,            0.077548,            0.078995,            0.056982,            0.046082,           0.0050823,           0.0050823
                  15,            0.070757,             0.10373,            0.057781,             0.61024,            0.090876,            0.028433,            0.012092,            0.078827,            0.082275,            0.055786,            0.042364,           0.0053644,           0.0053644
                  16,            0.072869,            0.076485,            0.055974,             0.47832,             0.13069,            0.064087,            0.018456,            0.078779,            0.060219,            0.055237,            0.038639,           0.0056387,           0.0056387
                  17,            0.071962,            0.081753,            0.061295,             0.63212,            0.072753,            0.065049,            0.028254,            0.083762,            0.051491,            0.055103,            0.034905,           0.0059051,           0.0059051
                  18,            0.064221,            0.096905,            0.053669,             0.63385,            0.093846,            0.062146,            0.029277,            0.079971,            0.057343,            0.055273,            0.031163,           0.0061635,           0.0061635
                  19,            0.074482,            0.089723,            0.051768,              0.6677,            0.088378,            0.080893,            0.039693,            0.075879,            0.054375,            0.054919,            0.027414,            0.006414,            0.006414
                  20,            0.071937,            0.096929,            0.053198,              0.6698,            0.059024,            0.086592,            0.034389,            0.077677,            0.052666,            0.054614,            0.023657,           0.0066566,           0.0066566
                  21,            0.073516,            0.095218,            0.052992,             0.70101,            0.079119,             0.10319,             0.05447,            0.077634,            0.055267,            0.053992,            0.019891,           0.0068913,           0.0068913
                  22,            0.067204,            0.090177,            0.053311,             0.64102,            0.054785,            0.085175,            0.034571,             0.07936,            0.056229,            0.053662,            0.016118,            0.007118,            0.007118
                  23,            0.057756,            0.070275,            0.045532,             0.61525,             0.12336,            0.046146,            0.019046,            0.086361,            0.055161,            0.052917,            0.012337,           0.0073369,           0.0073369
                  24,            0.078738,            0.094003,            0.047698,             0.62747,             0.12361,              0.0826,            0.035666,            0.081527,            0.052582,            0.053223,           0.0085478,           0.0075478,           0.0075478
                  25,            0.075253,            0.093268,            0.047601,              0.5624,              0.1618,            0.093784,            0.050666,            0.078996,            0.053848,            0.053064,            0.007525,            0.007525,            0.007525
                  26,            0.068393,            0.088109,            0.048224,             0.62925,             0.11061,            0.087501,            0.039769,            0.077261,            0.053154,            0.053589,            0.007525,            0.007525,            0.007525
                  27,            0.065407,            0.081881,            0.047616,             0.58562,             0.11203,             0.10502,            0.043402,             0.07515,            0.054489,             0.05509,            0.007426,            0.007426,            0.007426
                  28,            0.060957,            0.080867,            0.053129,             0.64837,             0.12324,             0.10734,            0.044483,            0.071931,             0.05085,            0.054822,            0.007327,            0.007327,            0.007327
                  29,            0.066326,            0.077121,            0.048793,             0.69177,            0.083437,             0.11764,            0.052754,             0.07069,            0.050262,            0.056616,            0.007228,            0.007228,            0.007228
                  30,            0.063242,            0.088253,            0.047086,             0.66662,             0.11837,             0.12629,            0.071476,            0.067685,            0.051666,            0.056836,            0.007129,            0.007129,            0.007129
                  31,            0.065727,             0.10275,            0.045084,             0.67648,             0.10853,             0.14082,            0.074341,            0.064932,            0.050705,             0.05824,             0.00703,             0.00703,             0.00703
                  32,            0.055757,             0.08594,            0.047968,             0.58995,              0.1506,             0.13387,            0.066581,            0.072496,            0.050987,            0.058899,            0.006931,            0.006931,            0.006931
                  33,            0.059232,            0.084451,            0.047549,             0.65559,             0.11258,             0.15977,            0.080977,            0.068315,            0.051208,            0.059399,            0.006832,            0.006832,            0.006832
                  34,            0.057331,            0.090701,            0.044742,             0.59479,             0.11798,             0.16139,            0.080572,            0.076306,            0.048088,            0.060059,            0.006733,            0.006733,            0.006733
                  35,            0.056857,            0.070766,            0.046847,             0.45689,             0.19679,             0.18641,             0.11489,            0.071404,            0.048874,            0.059521,            0.006634,            0.006634,            0.006634
                  36,            0.061789,              0.1015,            0.041682,             0.58452,              0.1446,              0.1561,             0.10025,            0.067318,            0.051765,            0.060168,            0.006535,            0.006535,            0.006535
                  37,            0.058063,            0.094116,            0.041145,             0.62898,             0.14964,             0.16166,            0.093261,            0.066699,            0.051575,            0.061731,            0.006436,            0.006436,            0.006436
                  38,            0.055914,             0.10598,            0.041447,             0.61295,             0.14086,             0.16732,            0.092288,            0.068068,            0.052231,            0.061902,            0.006337,            0.006337,            0.006337
                  39,            0.058466,            0.072954,            0.041483,             0.61311,             0.12506,             0.18642,             0.11999,            0.066866,            0.053596,             0.06217,            0.006238,            0.006238,            0.006238
                  40,            0.057036,             0.10205,            0.040496,             0.60925,             0.12527,             0.15159,             0.07853,            0.069053,            0.052727,            0.062317,            0.006139,            0.006139,            0.006139
                  41,            0.048858,            0.077776,            0.044963,             0.55029,             0.14854,             0.15378,            0.091598,            0.068912,            0.052734,            0.061243,             0.00604,             0.00604,             0.00604
                  42,            0.053017,            0.087283,            0.039586,             0.54461,             0.14316,             0.15217,              0.0939,            0.068062,            0.053329,            0.062195,            0.005941,            0.005941,            0.005941
                  43,            0.054843,            0.094957,            0.040363,             0.32029,             0.17221,             0.16706,             0.11009,            0.069083,            0.052452,            0.063318,            0.005842,            0.005842,            0.005842
                  44,            0.059958,            0.091986,            0.037048,             0.34551,             0.25579,             0.18477,             0.11372,            0.066144,            0.052643,            0.064221,            0.005743,            0.005743,            0.005743
                  45,             0.05238,            0.078859,            0.036206,             0.47961,             0.21966,             0.18639,             0.12286,             0.06764,            0.052872,            0.064282,            0.005644,            0.005644,            0.005644
                  46,            0.049258,            0.070541,            0.046622,             0.57594,             0.20751,             0.19028,             0.13618,            0.067011,            0.053116,            0.064185,            0.005545,            0.005545,            0.005545
                  47,            0.053289,             0.10239,            0.036319,             0.60057,             0.20026,             0.18697,             0.11805,            0.065602,            0.053932,            0.065417,            0.005446,            0.005446,            0.005446
                  48,            0.054095,            0.075919,            0.045155,              0.2587,             0.19223,             0.17213,             0.11067,            0.064841,            0.055389,            0.064465,            0.005347,            0.005347,            0.005347
                  49,            0.046665,            0.067892,            0.036455,             0.57386,             0.14304,             0.16889,             0.10715,             0.06509,            0.053528,            0.063586,            0.005248,            0.005248,            0.005248
                  50,            0.048312,            0.079457,            0.035429,             0.61431,              0.1379,             0.16606,             0.11075,            0.060379,             0.05732,            0.063538,            0.005149,            0.005149,            0.005149
                  51,            0.044588,            0.071472,             0.03426,             0.57485,             0.16742,             0.16907,              0.1209,            0.061265,             0.05584,            0.063293,             0.00505,             0.00505,             0.00505
                  52,            0.047315,            0.065871,            0.041418,             0.49271,             0.17776,             0.17094,             0.11604,            0.063898,            0.054718,            0.064258,            0.004951,            0.004951,            0.004951
                  53,            0.046386,            0.065875,            0.043902,             0.54257,             0.14861,             0.16623,             0.11447,            0.060918,            0.055664,            0.065869,            0.004852,            0.004852,            0.004852
                  54,            0.051563,            0.079783,            0.033895,             0.57077,             0.16902,             0.17028,             0.10879,            0.061326,            0.056259,            0.066589,            0.004753,            0.004753,            0.004753
                  55,            0.048062,            0.079797,            0.036657,             0.39744,             0.18954,             0.16711,             0.10973,            0.062551,            0.056129,            0.067053,            0.004654,            0.004654,            0.004654
                  56,            0.047546,            0.073043,             0.03176,             0.51609,             0.17798,             0.18704,             0.11603,            0.060452,            0.055649,            0.066052,            0.004555,            0.004555,            0.004555
                  57,            0.046219,            0.077066,            0.033054,             0.59263,             0.14894,             0.18166,              0.1187,            0.059672,             0.05545,            0.065979,            0.004456,            0.004456,            0.004456
                  58,            0.045959,            0.081873,            0.037643,             0.59187,              0.1363,             0.17861,             0.11988,            0.060775,             0.05719,            0.062866,            0.004357,            0.004357,            0.004357
                  59,            0.045333,            0.081506,            0.034003,             0.61454,             0.13572,             0.19785,             0.13653,            0.062328,            0.057632,            0.062317,            0.004258,            0.004258,            0.004258
                  60,            0.044294,            0.077488,            0.032866,             0.63158,              0.1493,              0.2133,             0.13633,            0.063886,            0.056152,            0.061206,            0.004159,            0.004159,            0.004159
                  61,            0.046924,            0.097414,            0.036498,              0.3817,             0.24253,             0.22285,              0.1532,            0.063497,            0.056534,            0.061292,             0.00406,             0.00406,             0.00406
                  62,            0.040956,            0.060338,            0.034437,             0.37756,             0.24162,             0.22318,              0.1452,            0.065413,            0.057953,            0.061353,            0.003961,            0.003961,            0.003961
                  63,            0.049743,            0.067176,            0.041276,             0.44123,              0.1848,             0.20312,             0.12497,            0.065425,            0.058258,             0.06012,            0.003862,            0.003862,            0.003862
                  64,            0.037905,            0.059884,            0.031551,             0.31785,             0.25809,             0.21566,             0.14914,            0.063718,            0.057312,            0.062158,            0.003763,            0.003763,            0.003763
                  65,            0.042962,            0.078898,            0.030735,             0.31168,             0.26669,             0.22041,             0.15568,            0.062597,            0.057266,            0.063416,            0.003664,            0.003664,            0.003664
                  66,            0.045261,            0.091092,            0.031544,             0.31975,             0.26969,             0.23835,             0.17523,            0.063547,            0.057632,            0.062854,            0.003565,            0.003565,            0.003565
                  67,            0.050639,            0.080187,            0.038453,             0.31621,             0.24886,             0.24186,             0.16633,             0.06288,            0.057053,            0.063586,            0.003466,            0.003466,            0.003466
                  68,            0.042185,            0.079511,            0.035287,             0.33094,             0.24397,             0.22956,             0.16131,            0.062675,            0.057892,            0.063696,            0.003367,            0.003367,            0.003367
                  69,            0.037521,            0.064842,             0.03651,             0.31685,             0.26002,             0.23168,             0.16066,            0.061929,            0.059097,            0.063843,            0.003268,            0.003268,            0.003268
                  70,            0.034837,            0.062047,            0.029953,             0.31341,             0.24597,             0.23031,             0.15724,            0.062697,            0.059982,            0.064087,            0.003169,            0.003169,            0.003169
                  71,            0.042819,             0.08434,            0.028032,             0.32927,             0.25793,             0.22892,             0.15383,            0.062615,            0.059753,            0.064478,             0.00307,             0.00307,             0.00307
                  72,            0.040775,            0.057237,            0.035456,              0.3244,             0.21706,             0.22796,             0.15949,            0.063594,            0.060013,            0.063562,            0.002971,            0.002971,            0.002971
                  73,            0.045736,             0.13593,            0.031779,             0.31927,             0.22637,             0.22976,             0.16088,            0.061535,            0.059464,            0.064026,            0.002872,            0.002872,            0.002872
                  74,            0.037786,            0.068577,            0.029646,             0.32432,             0.21934,              0.2403,             0.16045,            0.060806,            0.059586,            0.065222,            0.002773,            0.002773,            0.002773
                  75,              0.0444,            0.068468,            0.028376,             0.31241,             0.20214,             0.23738,              0.1636,            0.059675,            0.059982,             0.06593,            0.002674,            0.002674,            0.002674
                  76,              0.0393,             0.06487,            0.032193,             0.32177,             0.20568,             0.23039,             0.15726,            0.060638,            0.061783,            0.064453,            0.002575,            0.002575,            0.002575
                  77,            0.036344,            0.057622,             0.03323,             0.33817,             0.26985,              0.2343,             0.15799,            0.060376,            0.061844,            0.064221,            0.002476,            0.002476,            0.002476
                  78,            0.036673,            0.074512,            0.031522,             0.38408,             0.28169,             0.23351,             0.15912,            0.059585,             0.06102,            0.063745,            0.002377,            0.002377,            0.002377
                  79,            0.041844,            0.061227,             0.02805,             0.31615,             0.28496,              0.2313,             0.15713,            0.059019,            0.060745,            0.063184,            0.002278,            0.002278,            0.002278
                  80,            0.041939,             0.10269,             0.03092,             0.32346,               0.298,             0.22183,             0.15404,            0.059437,            0.061157,               0.062,            0.002179,            0.002179,            0.002179
                  81,            0.044191,             0.06489,            0.029057,             0.31945,             0.25705,             0.21751,             0.15087,            0.060997,            0.063248,            0.061353,             0.00208,             0.00208,             0.00208
