               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11975,             0.10953,            0.040504,           0.0060812,             0.12039,           0.0039582,           0.0010083,             0.12158,            0.079079,            0.042865,              0.0892,              0.0012,              0.0012
                   1,             0.11542,             0.14655,            0.039346,            0.011864,             0.23106,           0.0085145,           0.0019674,             0.11469,            0.085991,            0.041725,            0.077475,           0.0024753,           0.0024753
                   2,              0.1085,             0.14388,            0.037541,            0.026752,            0.089514,             0.02271,           0.0044403,             0.10595,            0.092171,             0.03913,            0.065725,           0.0037248,           0.0037248
                   3,             0.10265,             0.14405,             0.03487,             0.03917,             0.21666,            0.030137,            0.007624,            0.099936,             0.11282,            0.037564,            0.053949,           0.0049485,           0.0049485
                   4,            0.098883,             0.14731,            0.032804,            0.041342,             0.29747,            0.050578,            0.014002,            0.093635,             0.13123,            0.034987,            0.042147,           0.0061466,           0.0061466
                   5,            0.091099,             0.12967,             0.03184,            0.057207,              0.2276,            0.054548,            0.015042,            0.093371,             0.10826,            0.033023,            0.030319,           0.0073188,           0.0073188
                   6,            0.092799,             0.12849,            0.029215,            0.064915,             0.32803,            0.053669,             0.01404,            0.091336,             0.11491,            0.032941,            0.018465,           0.0084654,           0.0084654
                   7,            0.088991,             0.11681,            0.030896,             0.10507,             0.23668,            0.068829,            0.022268,            0.096889,            0.086395,            0.031146,            0.009307,            0.009307,            0.009307
                   8,            0.087598,             0.11315,            0.028422,            0.034101,             0.27444,             0.02821,           0.0090092,             0.10382,              0.1415,            0.032419,            0.009307,            0.009307,            0.009307
                   9,            0.090725,             0.13575,            0.029764,             0.11945,             0.34542,            0.067065,            0.015961,            0.092665,             0.18173,            0.032062,            0.009208,            0.009208,            0.009208
                  10,            0.085966,             0.13379,            0.027671,              0.2232,             0.30522,               0.115,            0.046068,            0.083022,             0.10178,            0.029132,            0.009109,            0.009109,            0.009109
                  11,            0.079422,             0.13491,            0.027745,             0.10168,             0.40836,            0.087071,            0.029785,            0.086596,             0.13031,            0.027876,             0.00901,             0.00901,             0.00901
                  12,            0.079009,              0.1299,            0.026686,             0.33857,             0.28041,             0.16638,            0.054443,            0.076912,            0.095619,             0.02702,            0.008911,            0.008911,            0.008911
                  13,            0.075951,              0.1363,            0.026677,             0.10528,             0.43996,            0.093683,            0.036648,            0.085993,             0.12402,            0.026454,            0.008812,            0.008812,            0.008812
                  14,            0.076067,             0.13997,            0.026328,             0.32827,             0.31094,              0.1687,            0.068599,            0.079606,               0.105,            0.026157,            0.008713,            0.008713,            0.008713
                  15,            0.076492,             0.14228,            0.025886,             0.30261,             0.30125,             0.20062,            0.061571,            0.075863,            0.095604,            0.025825,            0.008614,            0.008614,            0.008614
                  16,            0.070234,             0.13099,            0.022895,             0.24688,             0.26873,             0.19181,            0.089902,            0.075099,            0.091499,            0.026031,            0.008515,            0.008515,            0.008515
                  17,             0.07201,             0.13387,            0.023323,             0.30672,             0.28107,             0.21101,            0.086101,            0.071901,            0.089027,            0.026106,            0.008416,            0.008416,            0.008416
                  18,            0.069611,             0.12899,            0.023984,             0.23305,             0.36596,             0.17199,            0.069758,            0.076633,             0.09008,            0.024511,            0.008317,            0.008317,            0.008317
                  19,            0.070309,             0.13338,            0.022601,             0.42701,             0.33937,             0.20695,            0.083689,            0.073041,            0.094406,            0.024234,            0.008218,            0.008218,            0.008218
                  20,            0.070538,             0.12732,            0.020998,              0.2606,             0.34483,              0.2075,            0.075001,            0.073998,            0.088211,            0.024522,            0.008119,            0.008119,            0.008119
                  21,             0.06781,             0.12409,            0.023177,             0.22794,             0.35071,             0.20693,            0.087014,            0.069001,            0.092628,            0.024884,             0.00802,             0.00802,             0.00802
                  22,            0.068852,             0.12431,            0.021716,              0.2716,             0.32123,             0.23099,             0.10756,            0.068109,            0.091835,            0.023957,            0.007921,            0.007921,            0.007921
                  23,            0.066924,             0.11761,            0.020154,             0.25395,             0.30163,             0.18194,            0.077686,            0.068553,            0.092308,            0.025056,            0.007822,            0.007822,            0.007822
                  24,            0.063308,             0.12546,            0.018585,             0.25389,             0.36955,             0.20874,            0.095552,            0.068178,            0.095924,            0.024477,            0.007723,            0.007723,            0.007723
                  25,            0.066015,             0.12911,            0.020415,             0.28564,             0.35004,             0.22081,             0.09472,            0.068274,            0.094566,            0.023607,            0.007624,            0.007624,            0.007624
                  26,            0.066619,             0.12765,            0.019239,             0.29466,             0.31223,             0.20614,            0.091892,            0.067334,            0.091194,            0.023911,            0.007525,            0.007525,            0.007525
                  27,             0.06362,             0.12348,            0.020482,             0.23647,             0.30876,             0.20286,            0.086311,            0.067246,             0.09137,            0.024982,            0.007426,            0.007426,            0.007426
                  28,            0.066525,             0.12454,            0.019925,             0.27006,             0.35275,             0.22181,             0.10499,            0.064659,             0.09465,            0.025374,            0.007327,            0.007327,            0.007327
                  29,            0.062236,             0.11539,            0.021555,             0.29515,             0.30869,             0.21161,            0.096487,            0.067802,            0.092445,            0.025742,            0.007228,            0.007228,            0.007228
                  30,            0.062533,             0.12035,             0.02184,             0.39608,             0.37924,             0.26643,             0.12647,            0.063388,            0.094894,            0.023611,            0.007129,            0.007129,            0.007129
                  31,            0.061718,             0.11208,            0.019754,             0.42698,             0.32569,             0.29559,             0.12703,            0.065356,            0.094131,            0.023268,             0.00703,             0.00703,             0.00703
                  32,            0.054385,              0.1129,            0.019028,             0.43338,             0.33152,             0.24985,             0.12615,            0.063064,            0.095963,            0.023463,            0.006931,            0.006931,            0.006931
                  33,            0.061349,             0.12165,            0.018631,             0.41282,             0.30487,             0.26863,             0.13415,            0.062356,            0.098564,            0.023579,            0.006832,            0.006832,            0.006832
                  34,            0.060772,             0.11287,            0.017017,             0.38175,             0.32602,             0.26569,             0.12606,            0.065588,            0.097816,             0.02346,            0.006733,            0.006733,            0.006733
                  35,            0.059001,             0.12355,            0.017926,             0.40935,             0.33853,             0.28464,             0.13874,            0.062067,            0.095215,             0.02403,            0.006634,            0.006634,            0.006634
                  36,            0.061152,             0.13027,            0.017808,             0.45351,              0.3788,             0.28783,             0.14918,            0.061575,            0.097816,            0.024367,            0.006535,            0.006535,            0.006535
                  37,            0.059762,             0.13915,            0.019625,             0.44663,              0.3974,              0.2755,             0.12945,            0.063964,             0.10156,            0.022712,            0.006436,            0.006436,            0.006436
                  38,            0.056734,              0.1251,            0.020273,             0.36416,             0.37827,             0.28878,             0.14358,            0.060908,            0.096596,            0.022611,            0.006337,            0.006337,            0.006337
                  39,            0.055475,             0.10675,            0.019175,              0.4294,             0.34006,             0.29088,              0.1419,            0.061249,            0.096321,            0.022449,            0.006238,            0.006238,            0.006238
                  40,            0.054591,              0.1193,            0.018972,             0.49212,             0.33667,             0.31729,             0.14999,            0.061862,            0.095123,            0.022982,            0.006139,            0.006139,            0.006139
                  41,            0.056159,             0.11206,            0.018058,             0.45076,             0.37129,             0.35014,             0.17789,            0.059226,            0.095436,            0.023447,             0.00604,             0.00604,             0.00604
                  42,            0.053401,             0.10734,            0.017546,             0.48784,             0.33002,             0.32864,             0.15716,            0.060456,            0.096954,            0.023579,            0.005941,            0.005941,            0.005941
                  43,            0.052428,             0.11491,            0.017627,              0.5257,             0.33985,             0.31388,             0.15913,            0.060756,            0.096954,            0.022975,            0.005842,            0.005842,            0.005842
                  44,            0.054402,             0.10296,            0.015947,             0.52506,             0.35308,             0.34663,             0.17341,            0.060618,            0.096245,            0.022941,            0.005743,            0.005743,            0.005743
                  45,            0.055154,              0.1154,            0.015701,             0.52861,             0.37767,             0.33049,              0.1787,             0.06048,            0.095779,            0.023142,            0.005644,            0.005644,            0.005644
                  46,            0.054019,             0.11977,            0.018774,              0.5146,             0.37844,             0.31384,             0.15013,             0.06214,             0.09893,            0.022959,            0.005545,            0.005545,            0.005545
                  47,            0.056524,             0.10525,            0.015832,             0.54891,             0.35331,             0.33804,             0.19189,            0.057301,            0.097221,            0.023119,            0.005446,            0.005446,            0.005446
                  48,            0.047963,              0.1013,            0.015798,             0.42841,             0.37493,             0.33695,             0.18092,            0.058592,            0.098289,            0.024344,            0.005347,            0.005347,            0.005347
                  49,            0.053185,              0.1096,            0.017966,             0.44109,             0.37746,             0.33297,             0.17293,            0.060965,            0.097618,            0.023554,            0.005248,            0.005248,            0.005248
                  50,            0.056171,             0.11971,            0.016664,             0.54283,             0.36754,             0.36721,             0.19837,            0.057878,            0.096001,            0.023103,            0.005149,            0.005149,            0.005149
                  51,            0.051978,             0.10552,            0.017823,             0.57479,             0.36097,              0.3721,             0.19015,             0.05937,            0.096245,             0.02287,             0.00505,             0.00505,             0.00505
                  52,            0.051089,             0.10428,            0.016396,             0.57743,             0.36356,             0.36888,             0.20494,            0.056849,            0.095192,            0.022936,            0.004951,            0.004951,            0.004951
                  53,            0.048263,             0.11494,            0.015686,             0.58052,             0.36963,             0.34969,             0.20269,            0.056045,            0.096863,            0.023197,            0.004852,            0.004852,            0.004852
                  54,            0.050865,             0.10705,            0.017081,             0.42595,              0.3805,             0.34493,             0.19164,            0.058015,            0.096436,            0.023158,            0.004753,            0.004753,            0.004753
                  55,            0.048837,             0.11557,            0.015973,             0.42016,             0.39304,              0.3688,             0.20449,            0.057251,            0.097099,            0.023305,            0.004654,            0.004654,            0.004654
                  56,            0.047903,            0.098147,            0.015817,             0.54626,             0.31551,             0.35416,             0.18195,            0.059354,             0.10004,            0.023234,            0.004555,            0.004555,            0.004555
                  57,            0.053956,              0.1186,            0.017196,             0.49536,              0.3403,             0.34888,             0.19989,            0.057612,            0.099747,            0.023449,            0.004456,            0.004456,            0.004456
                  58,            0.049469,             0.11295,            0.018099,             0.53277,             0.35754,             0.35409,             0.19676,            0.057794,            0.098068,            0.023252,            0.004357,            0.004357,            0.004357
                  59,             0.04918,              0.1044,            0.014318,             0.47422,             0.37937,             0.34459,             0.19605,            0.058145,            0.097092,            0.023451,            0.004258,            0.004258,            0.004258
                  60,            0.048252,            0.093899,            0.016011,             0.60446,             0.35062,             0.35732,             0.20094,            0.058479,            0.097672,            0.023447,            0.004159,            0.004159,            0.004159
                  61,            0.050145,             0.11414,            0.017228,             0.40911,              0.3845,             0.35295,                 0.2,            0.057922,             0.09877,            0.023973,             0.00406,             0.00406,             0.00406
                  62,            0.048404,             0.10796,              0.0155,             0.40959,             0.41039,             0.36302,             0.20819,            0.056279,               0.097,            0.023557,            0.003961,            0.003961,            0.003961
                  63,             0.04808,             0.10546,            0.014138,             0.43337,              0.3968,             0.37345,             0.21291,            0.056034,            0.096466,            0.023357,            0.003862,            0.003862,            0.003862
                  64,            0.046041,             0.10608,            0.015066,             0.42288,             0.40885,             0.37744,             0.21583,            0.055698,            0.096092,            0.023559,            0.003763,            0.003763,            0.003763
