               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,             0.11803,            0.040361,           0.0050671,            0.092254,           0.0030306,          0.00071322,             0.12212,            0.076279,            0.042883,              0.0946,              0.0006,              0.0006
                   1,             0.11647,             0.12786,            0.039867,           0.0089478,             0.16612,           0.0058543,           0.0013816,              0.1171,            0.081009,            0.041995,            0.088296,           0.0012957,           0.0012957
                   2,             0.11114,             0.12634,            0.038142,            0.010934,             0.21173,            0.009761,           0.0021321,             0.11094,            0.086578,            0.040384,            0.081987,           0.0019868,           0.0019868
                   3,             0.10758,             0.14304,            0.036929,            0.030934,            0.087972,            0.021584,            0.004285,             0.10506,            0.090408,            0.039084,            0.075673,           0.0026733,           0.0026733
                   4,             0.10453,             0.15859,            0.035271,            0.041466,             0.22996,            0.034904,           0.0086916,            0.099458,             0.11804,            0.038168,            0.069355,           0.0033551,           0.0033551
                   5,             0.10028,             0.13608,            0.033296,            0.037852,             0.26749,            0.043274,             0.01235,            0.096138,             0.15509,            0.037381,            0.063032,           0.0040324,           0.0040324
                   6,            0.089654,             0.12297,            0.030133,             0.73392,             0.10081,            0.075707,            0.025546,            0.089343,             0.11942,            0.036584,            0.056705,            0.004705,            0.004705
                   7,            0.089096,             0.13233,            0.031346,            0.070714,             0.36271,            0.064249,            0.018617,            0.091503,             0.13715,            0.034991,            0.050373,           0.0053729,           0.0053729
                   8,            0.086319,             0.12105,            0.029792,            0.063898,             0.33122,            0.067617,            0.022753,            0.095343,             0.12665,            0.033884,            0.044036,           0.0060363,           0.0060363
                   9,            0.086358,              0.1344,            0.029524,             0.21104,             0.30251,             0.12133,            0.040295,            0.085866,             0.10176,            0.031348,            0.037695,           0.0066951,           0.0066951
                  10,            0.081608,             0.14593,            0.027418,             0.18949,             0.31127,            0.095927,             0.03177,            0.087912,             0.11157,            0.030167,            0.031349,           0.0073492,           0.0073492
                  11,            0.084217,             0.11295,            0.028654,             0.14016,             0.30901,             0.11113,            0.037846,            0.086459,            0.090424,            0.028615,            0.024999,           0.0079987,           0.0079987
                  12,            0.084249,             0.12351,            0.027686,              0.2472,              0.2288,            0.091206,            0.029929,            0.087789,            0.094101,            0.028313,            0.018644,           0.0086436,           0.0086436
                  13,            0.084699,              0.1247,            0.025632,             0.11195,             0.39801,             0.10551,              0.0382,            0.097873,             0.11984,            0.027869,            0.012284,           0.0092839,           0.0092839
                  14,             0.08465,              0.1421,            0.025318,             0.40788,             0.32762,             0.12109,            0.040396,            0.088037,              0.1114,            0.027448,            0.009538,            0.009538,            0.009538
                  15,            0.081539,             0.13187,            0.026446,             0.27221,             0.28775,             0.20321,            0.078077,            0.080558,            0.093002,            0.025461,            0.009538,            0.009538,            0.009538
                  16,            0.076748,             0.10779,            0.022773,             0.17171,             0.31601,             0.17395,            0.069897,            0.085009,            0.087372,            0.025534,            0.009505,            0.009505,            0.009505
                  17,             0.07866,             0.12978,            0.021484,             0.25888,             0.30964,             0.17924,            0.070034,            0.089818,            0.097092,            0.025749,            0.009472,            0.009472,            0.009472
                  18,            0.076311,             0.12087,            0.023794,             0.47423,             0.21981,             0.13507,            0.054006,            0.080264,            0.099396,            0.025607,            0.009439,            0.009439,            0.009439
                  19,            0.072489,             0.13115,            0.021701,             0.11021,             0.36784,             0.12287,            0.051696,            0.075511,            0.092743,            0.024783,            0.009406,            0.009406,            0.009406
                  20,            0.073184,             0.12457,            0.020148,             0.15694,             0.37013,             0.15131,            0.058116,            0.075598,            0.090561,            0.024312,            0.009373,            0.009373,            0.009373
                  21,            0.069075,             0.11909,            0.021772,             0.20852,             0.30923,             0.16026,            0.059731,            0.076413,            0.087372,             0.02428,             0.00934,             0.00934,             0.00934
                  22,             0.07249,             0.11822,            0.020926,             0.25677,             0.31212,             0.16297,            0.061449,            0.073796,             0.08992,            0.024957,            0.009307,            0.009307,            0.009307
                  23,            0.070839,             0.12509,            0.018227,              0.3178,              0.3872,             0.22505,            0.093751,            0.067502,            0.095032,            0.024948,            0.009274,            0.009274,            0.009274
                  24,            0.068313,             0.12479,            0.018001,             0.47816,             0.16635,              0.1236,            0.047316,            0.080062,             0.10001,            0.024985,            0.009241,            0.009241,            0.009241
                  25,             0.06816,             0.11997,            0.018218,             0.18952,             0.40615,             0.17215,             0.06302,            0.076187,            0.090302,            0.024522,            0.009208,            0.009208,            0.009208
                  26,            0.067956,             0.12992,            0.018411,             0.28959,              0.3818,             0.20067,            0.088713,            0.067439,            0.096848,            0.024664,            0.009175,            0.009175,            0.009175
